gender,marital_status,dependents,avg_age,avg_monthly_charges,avg_total_charges
Male,Married,0,48.0000,50.980000,469.068571
Male,Married,1,49.4286,45.295714,609.844286
Male,Married,2,55.2000,49.510000,640.694000
Male,Married,3,46.2500,57.215000,563.632500
Male,Single,0,49.7500,40.668750,512.800000
Male,Single,1,49.7500,67.968750,598.672500
Male,Single,2,37.0000,43.407500,370.062500
Male,Single,3,33.0000,77.250000,381.450000
Female,Married,0,49.8889,48.070000,643.160000
Female,Married,1,68.1667,67.265000,583.683333
Female,Married,2,51.3750,40.631250,466.838750
Female,Married,3,50.3750,65.990000,365.513750
Female,Single,0,70.1667,66.121667,854.376667
Female,Single,1,55.8000,42.878000,608.692000
Female,Single,2,43.7000,46.096000,476.001000
Female,Single,3,47.7500,50.350000,469.655000
